timestamp,city,customerID,driverID,merchantID,spend
31/03/2018 23:15,Tokyo,1325845,89,24,11.59
31/03/2018 22:20,Paris,1256804,5,89,10.16
31/03/2018 21:28,Paris,1267758,120,306,10.05
31/03/2018 21:27,Manchester,1267635,7,241,28.67
31/03/2018 21:26,Manchester,1267841,86,332,15.33
31/03/2018 21:15,Manchester,1273716,115,195,17.72
31/03/2018 21:15,Paris,1273725,36,195,21.48
31/03/2018 21:07,Paris,1279799,47,103,12.38
31/03/2018 20:37,Manchester,1266872,90,190,21.92
31/03/2018 20:34,Los Angeles,1281832,116,131,16.54
31/03/2018 20:19,Paris,1312667,17,2,27.77
31/03/2018 19:34,Paris,1269770,78,169,16.11
31/03/2018 19:27,Paris,1337061,50,330,17.75
31/03/2018 19:23,New York,1339670,51,175,39.18
31/03/2018 19:12,Tokyo,1259892,71,91,39.78
31/03/2018 19:11,Paris,1274688,17,179,16.28
31/03/2018 19:10,Paris,1269739,109,157,23
31/03/2018 18:53,Paris,1258335,20,260,15.49
31/03/2018 18:41,Tokyo,1345027,77,73,10.54
31/03/2018 18:37,Tokyo,1309521,99,85,36.29
31/03/2018 18:35,Los Angeles,1310824,75,63,17.55
31/03/2018 18:32,Paris,1322668,51,181,30.4
31/03/2018 18:22,Los Angeles,1307947,20,121,11.96
31/03/2018 18:22,Paris,1319010,77,228,11.47
31/03/2018 18:21,London,1314223,84,305,10.86
31/03/2018 18:19,London,1265533,26,224,14.91
31/03/2018 18:16,Tokyo,1272321,107,192,70.33
31/03/2018 18:11,Paris,1316146,9,154,38.57
31/03/2018 18:08,London,1284284,19,105,46.52
31/03/2018 18:01,Manchester,1325827,114,41,22.79
31/03/2018 17:59,Paris,1310253,113,32,13.51
31/03/2018 17:56,Los Angeles,1267536,73,35,17.42
31/03/2018 17:45,Manchester,1313169,82,81,19.04
31/03/2018 17:44,Manchester,1316330,18,208,9.89
31/03/2018 17:41,Manchester,1318287,99,312,35.45
31/03/2018 17:33,Manchester,1326433,81,113,25.3
31/03/2018 17:24,Manchester,1287754,102,236,11.09
31/03/2018 17:20,Paris,1334907,115,4,22.21
31/03/2018 17:01,Tokyo,1278796,34,163,23.99
31/03/2018 16:58,Paris,1279489,119,15,31.64
31/03/2018 16:55,Paris,1315332,55,255,24.12
31/03/2018 16:47,Paris,1270632,75,116,94.21
31/03/2018 16:41,Manchester,1254528,72,318,27.84
